NAMELSAD,CASES,INCIDENCE
Allegany County,108,160.6
Anne Arundel County,126,21.2
Baltimore City,99,17.4
Baltimore County,279,33.0
Calvert County,23,24.3
Caroline County,4,12.0
Carroll County,199,113.5
Cecil County,62,59.1
Charles County,28,16.5
Dorchester County,10,30.6
Frederick County,176,61.3
Garrett County,91,318.4
Harford County,122,46.2
Howard County,175,52.2
Kent County,13,67.3
Montgomery County,361,34.3
Prince George's County,49,5.2
Queen Anne's County,24,46.4
Somerset County,5,20.4
St. Mary's County,34,29.6
Talbot County,21,55.4
Washington County,0,0
Wicomico County,5,4.8
Worcester County,22,40.8
